date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:50	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/robots.txt		(from )
17:03:51	9908/9908	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/index.html	(from )
17:03:51	10187/10187	---M-Z	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/img/logo.png	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/img/logo.png	(from https://dapp-connects.web.app/)
17:03:51	26053/26053	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/aos/aos.css	(from https://dapp-connects.web.app/)
17:03:52	163899/163899	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://dapp-connects.web.app/)
17:03:53	13785/13785	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/glightbox/css/glightbox.min.css	(from https://dapp-connects.web.app/)
17:03:54	117400/117400	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/remixicon/remixicon.css	(from https://dapp-connects.web.app/)
17:03:54	77940/77940	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://dapp-connects.web.app/)
17:03:54	15576/15576	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/swiper/swiper-bundle.min.css	(from https://dapp-connects.web.app/)
17:03:54	44501/44501	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/css/style.css	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/css/style.css	(from https://dapp-connects.web.app/)
17:03:54	8281/8281	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/index-2.html	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/index-2.html	(from https://dapp-connects.web.app/)
17:03:55	121356/121356	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/wallets.html	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/wallets.html	(from https://dapp-connects.web.app/)
17:03:56	22636/22636	---M-Z	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/img/hero-img.png	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/img/hero-img.png	(from https://dapp-connects.web.app/)
17:03:56	3725/3725	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/img/clients/Blox-Staking_logo_blue.png	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/img/clients/Blox-Staking_logo_blue.png	(from https://dapp-connects.web.app/)
17:03:58	79251/79251	---M-Z	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/img/clients/nimbus-bg.0f9e44a7.png	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/img/clients/nimbus-bg.0f9e44a7.png	(from https://dapp-connects.web.app/)
17:03:58	89704/89704	---M-Z	200	added ('OK')	image/webp	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/img/clients/allnodes.webp	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/img/clients/allnodes.webp	(from https://dapp-connects.web.app/)
17:03:58	13050/13050	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/img/clients/Go-Ethereum-Logo.webp	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/img/clients/Go-Ethereum-Logo.webp	(from https://dapp-connects.web.app/)
17:03:59	4958/4958	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/purecounter/purecounter.js	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/purecounter/purecounter.js	(from https://dapp-connects.web.app/)
17:03:59	14690/14690	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/aos/aos.js	(from https://dapp-connects.web.app/)
17:03:59	78135/78135	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://dapp-connects.web.app/)
17:03:59	5123/5123	---M-Z	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/img/clients/client-5.png	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/img/clients/client-5.png	(from https://dapp-connects.web.app/)
17:04:00	56222/56222	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/glightbox/js/glightbox.min.js	(from https://dapp-connects.web.app/)
17:04:00	35456/35456	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://dapp-connects.web.app/)
17:04:01	135632/135632	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/swiper/swiper-bundle.min.js	(from https://dapp-connects.web.app/)
17:04:01	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/php-email-form/validate.html	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/php-email-form/validate.html	(from https://dapp-connects.web.app/)
17:04:02	7350/7350	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/js/main.js	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/js/main.js	(from https://dapp-connects.web.app/)
17:04:02	9908/9908	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/index.html	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/index-3.html	(from https://dapp-connects.web.app/assets/vendor/bootstrap/css/bootstrap.min.css)
17:04:02	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons3413.html?a74547b2f0863226942ff8ded57db345	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons34133413.html	(from https://dapp-connects.web.app/assets/vendor/bootstrap-icons/bootstrap-icons.css)
17:04:05	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons3413-2.html?a74547b2f0863226942ff8ded57db345	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons3413-23413.html	(from https://dapp-connects.web.app/assets/vendor/bootstrap-icons/bootstrap-icons.css)
17:04:06	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/remixicon/remixicondf6d.html?t=1590207869815	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/remixicon/remixicondf6ddf6d.html	(from https://dapp-connects.web.app/assets/vendor/remixicon/remixicon.css)
17:04:07	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/remixicon/remixicondf6d-2.html?t=1590207869815	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/remixicon/remixicondf6d-2df6d.html	(from https://dapp-connects.web.app/assets/vendor/remixicon/remixicon.css)
17:04:08	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/remixicon/remixicondf6d-3.html?t=1590207869815	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/remixicon/remixicondf6d-3df6d.html	(from https://dapp-connects.web.app/assets/vendor/remixicon/remixicon.css)
17:04:10	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2018:22:22%20GMT	https://dapp-connects.web.app/assets/vendor/remixicon/remixicondf6d-4.html?t=1590207869815	C:/My%20Web%20Sites/Dapp%20Validate/dapp-connects.web.app/assets/vendor/remixicon/remixicondf6d-4df6d.html	(from https://dapp-connects.web.app/assets/vendor/remixicon/remixicon.css)
